ARCHIVE,URL
2020-16,https://www.cnn.com/2020/02/09/business/china-coronavirus-global-auto-industry-impact/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fedition_world+%28RSS%3A+CNNi+-+World%29
2020-16,https://www.cnn.com/2020/02/11/economy/china-coronavirus-returning-to-work-economy/index.html
2020-16,https://www.cnn.com/2020/02/11/economy/china-coronavirus-returning-to-work-economy/index.html
2020-16,https://www.cnn.com/2020/02/13/business/china-car-industry-coronavirus/index.html
2020-16,https://www.cnn.com/2020/02/14/economy/coronavirus-china-economy-small-businesses/index.html?ref=hvper.com&utm_source=hvper.com&utm_medium=website
2020-16,https://www.cnn.com/2020/02/14/economy/coronavirus-china-economy-small-businesses/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fedition_world+%28RSS%3A+CNNi+-+World%29
2020-16,https://www.cnn.com/2020/02/19/business/jaguar-land-rover-chinese-parts-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+CNN+-+Most+Recent%29
2020-16,https://www.cnn.com/2020/02/19/business/pharma-drugs-coronavirus/index.html
2020-16,https://www.cnn.com/2020/02/20/asia/shanghai-coronavirus-china-economy-intl-hnk/index.html
2020-16,https://www.cnn.com/2020/02/20/business/iata-airlines-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fedition_asia+%28RSS%3A+CNNi+-+Asia%29
2020-16,https://www.cnn.com/2020/02/21/business/company-earnings-coronavirus/index.html
2020-16,https://www.cnn.com/2020/02/21/business/wedding-gowns-coronavirus/index.html
2020-16,https://www.cnn.com/2020/02/21/business/wedding-gowns-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+CNN+-+Most+Recent%29
2020-16,https://www.cnn.com/2020/02/21/business/wedding-gowns-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29
2020-16,https://www.cnn.com/2020/02/23/business/stock-futures-coronavirus/index.html
2020-16,https://www.cnn.com/2020/02/23/business/stock-futures-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+CNN+-+Most+Recent%29
2020-16,https://www.cnn.com/2020/02/23/business/stock-futures-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29
2020-16,https://www.cnn.com/2020/02/23/business/stock-futures-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_world+%28RSS%3A+CNN+-+World%29
2020-16,https://www.cnn.com/2020/02/23/business/stock-futures-coronavirus/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fedition_world+%28RSS%3A+CNNi+-+World%29
2020-16,https://www.cnn.com/2020/02/24/business/china-coronavirus-global-impact-intl/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29
2020-16,https://www.cnn.com/2020/02/25/business/coca-cola-coronavirus-artificial-sweeteners/index.html
2020-16,https://www.cnn.com/2020/02/25/business/coca-cola-coronavirus-artificial-sweeteners/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_us+%28RSS%3A+CNN+-+U.S.%29
